TYPE,YEAR,MONTH,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2015,6,46XX HOY ST,Renfrew-Collingwood,498190.136821,5454519.3529699985
Other Theft,2015,1,9XX W KING EDWARD AVE,South Cambie,490745.293835,5455154.48491
Other Theft,2015,1,9XX W KING EDWARD AVE,South Cambie,490745.293835,5455154.48491
Other Theft,2015,4,9XX W KING EDWARD AVE,South Cambie,490745.293835,5455154.48491
Other Theft,2015,5,9XX W KING EDWARD AVE,South Cambie,490745.293835,5455154.48491
Other Theft,2015,8,9XX W KING EDWARD AVE,South Cambie,490745.293835,5455154.48491
Other Theft,2015,2,20XX ALMA ST,West Point Grey,486484.454711,5457256.72986
Break and Enter Residential/Other,2015,2,79XX GRANVILLE ST,Marpole,489782.146012,5451217.74917
Break and Enter Residential/Other,2015,9,79XX ELLIOTT ST,Killarney,495989.173322,5451039.61429
Theft of Vehicle,2015,1,9XX E 12TH AVE,Mount Pleasant,493854.456318,5456334.231319998
Other Theft,2015,4,3XX ABBOTT ST,Central Business District,492218.705347,5458879.65756
Break and Enter Residential/Other,2015,1,78XX VICTORIA DR,Victoria-Fraserview,495193.894993,5451112.33601
Break and Enter Residential/Other,2015,8,78XX VICTORIA DR,Victoria-Fraserview,495193.86072,5451127.1835400015
Break and Enter Residential/Other,2015,3,78XX THORNHILL DR,Victoria-Fraserview,495167.522112,5451173.42803
Break and Enter Residential/Other,2015,4,78XX THORNHILL DR,Victoria-Fraserview,495147.530996,5451169.6300300015
Break and Enter Residential/Other,2015,9,78XX OAK ST,Marpole,490533.6185010001,5451259.13265
Break and Enter Residential/Other,2015,7,78XX MARCHWOOD PL,Killarney,498219.560921,5451101.00854
Break and Enter Residential/Other,2015,5,78XX KNIGHT ST,Sunset,494379.695808,5451174.02759
Break and Enter Residential/Other,2015,10,2XX E 2ND AVE,Mount Pleasant,492764.116986,5457297.88785
Other Theft,2015,1,9XX W PENDER ST,Central Business District,491493.933862,5459260.36532
Other Theft,2015,6,9XX W PENDER ST,Central Business District,491493.933862,5459260.36532
Other Theft,2015,10,9XX W PENDER ST,Central Business District,491493.933862,5459260.36532
Other Theft,2015,10,9XX W PENDER ST,Central Business District,491493.933862,5459260.36532
Theft from Vehicle,2015,5,11XX W 29TH AVE,Shaughnessy,490460.345841,5454745.62891
Theft from Vehicle,2015,3,46XX ROSS ST,Kensington-Cedar Cottage,494080.565082,5454458.79356
Other Theft,2015,12,9XX W PENDER ST,Central Business District,491494.440137,5459247.2065
Theft from Vehicle,2015,1,ONTARIO ST / W 12TH AVE,Mount Pleasant,492357.865609,5456392.26781
Theft from Vehicle,2015,7,84XX GRANVILLE ST,Marpole,489762.829246,5450782.71522
Other Theft,2015,4,9XX W PENDER ST,Central Business District,491498.036295,5459256.42866
Break and Enter Residential/Other,2015,6,78XX CARTIER ST,Marpole,489972.86301400006,5451319.14419
Break and Enter Residential/Other,2015,6,77XX YUKON ST,Marpole,491586.342663,5451326.76187
Other Theft,2015,7,9XX WINDERMERE ST,Hastings-Sunrise,497353.382985,5458100.59476
Theft from Vehicle,2015,2,46XX SOPHIA ST,Riley Park,492819.22188,5454498.10399
Theft from Vehicle,2015,10,46XX ST CATHERINES ST,Kensington-Cedar Cottage,493737.978311,5454453.79174
Other Theft,2015,1,ABBOTT ST / EXPO BLVD,Central Business District,492170.871961,5458437.7708
Other Theft,2015,1,ABBOTT ST / EXPO BLVD,Central Business District,492170.871961,5458437.7708
Other Theft,2015,9,ABBOTT ST / EXPO BLVD,Central Business District,492170.871961,5458437.7708
Break and Enter Residential/Other,2015,11,77XX GRANVILLE ST,Marpole,489778.445948,5451395.24658
Other Theft,2015,4,39XX KNIGHT ST,Kensington-Cedar Cottage,494453.901311,5455198.25413
Theft of Vehicle,2015,11,9XX E 15TH AVE,Mount Pleasant,493797.774268,5456024.290569998
Break and Enter Residential/Other,2015,9,77XX FRASER ST,Sunset,493373.107145,5451308.38704
Break and Enter Residential/Other,2015,9,77XX FRASER ST,Sunset,493373.019635,5451304.36197
Break and Enter Residential/Other,2015,5,77XX BUTLER ST,Killarney,497548.90389,5451391.78166
Break and Enter Residential/Other,2015,6,77XX BEAMISH CRT,Killarney,498008.92980200006,5451292.38417
Other Theft,2015,2,20XX ALMA ST,West Point Grey,486484.454711,5457256.72986
Theft from Vehicle,2015,4,ONTARIO ST / W 15TH AVE,Mount Pleasant,492350.001171,5456094.67544
Break and Enter Residential/Other,2015,1,76XX SELKIRK ST,Marpole,490326.255713,5451461.91309
Theft from Vehicle,2015,7,18XX ROBSON ST,West End,490069.956919,5459951.91267
Other Theft,2015,2,20XX ALMA ST,West Point Grey,486484.454711,5457256.72986
Break and Enter Residential/Other,2015,8,76XX MAIN ST,Sunset,492576.237771,5451426.3874900015
Break and Enter Residential/Other,2015,7,76XX MAIN ST,Sunset,492576.237771,5451426.3874900015
Break and Enter Residential/Other,2015,2,76XX FRASER ST,Sunset,493365.303707,5451371.99547
Break and Enter Residential/Other,2015,3,76XX ELLIOTT ST,Victoria-Fraserview,496022.64632700005,5451319.14825
Other Theft,2015,1,ABBOTT ST / KEEFER PL,Central Business District,492171.876992,5458556.18856
Other Theft,2015,1,ABBOTT ST / KEEFER PL,Central Business District,492171.876992,5458556.18856
Other Theft,2015,5,ABBOTT ST / KEEFER PL,Central Business District,492171.876992,5458556.18856
Other Theft,2015,6,ABBOTT ST / KEEFER PL,Central Business District,492171.876992,5458556.18856
Other Theft,2015,6,ABBOTT ST / KEEFER PL,Central Business District,492171.876992,5458556.18856
Other Theft,2015,7,ABBOTT ST / KEEFER PL,Central Business District,492171.876992,5458556.18856
Other Theft,2015,7,ABBOTT ST / KEEFER PL,Central Business District,492171.876992,5458556.18856
Other Theft,2015,9,ABBOTT ST / KEEFER PL,Central Business District,492171.876992,5458556.18856
Break and Enter Residential/Other,2015,10,76XX COLUMBIA ST,Marpole,491799.477772,5451452.13574
Theft from Vehicle,2015,10,18XX ROBSON ST,West End,490069.956919,5459951.91267
Break and Enter Residential/Other,2015,10,76XX CARTIER ST,Marpole,489986.55637600005,5451524.28234
Theft from Vehicle,2015,4,46XX W 10TH AVE,West Point Grey,484482.099061,5456810.18315
Theft from Vehicle,2015,5,46XX W 10TH AVE,West Point Grey,484482.099061,5456810.18315
Break and Enter Residential/Other,2015,1,76XX CARTIER ST,Marpole,489985.408792,5451476.4501
Break and Enter Residential/Other,2015,6,75XX PRINCE EDWARD ST,Sunset,492872.9649,5451486.24833
Other Theft,2015,1,8X W PENDER ST,Central Business District,492214.491143,5458700.84836
Theft from Vehicle,2015,6,46XX W 10TH AVE,West Point Grey,484486.057399,5456819.22221
Other Theft,2015,5,8X W PENDER ST,Central Business District,492214.491143,5458700.84836
Break and Enter Residential/Other,2015,2,75XX HUDSON ST,Marpole,490230.66032299993,5451580.00985
Other Theft,2015,8,8X W PENDER ST,Central Business District,492214.491143,5458700.84836
Break and Enter Residential/Other,2015,3,75XX COLUMBIA ST,Marpole,491800.335723,5451487.52725
Theft from Vehicle,2015,12,46XX W 10TH AVE,West Point Grey,484556.259717,5456808.15235
Break and Enter Residential/Other,2015,2,75XX ANGUS DR,Marpole,489203.956613,5451594.50715
Theft from Vehicle,2015,6,46XX W 11TH AVE,West Point Grey,484549.260165,5456716.10855
Theft from Vehicle,2015,9,46XX W 11TH AVE,West Point Grey,484553.330242,5456706.9214
Theft from Vehicle,2015,5,46XX W 12TH AVE,West Point Grey,484549.349292,5456604.49092
Other Theft,2015,2,ABBOTT ST / W CORDOVA ST,Central Business District,492233.157204,5458913.794
Other Theft,2015,3,ABBOTT ST / W CORDOVA ST,Central Business District,492233.157204,5458913.794
Other Theft,2015,9,8X W PENDER ST,Central Business District,492214.491143,5458700.84836
Theft from Vehicle,2015,11,46XX W 13TH AVE,West Point Grey,484510.045537,5456515.00972
Other Theft,2015,3,ABBOTT ST / W CORDOVA ST,Central Business District,492233.157204,5458913.794
Other Theft,2015,4,ABBOTT ST / W CORDOVA ST,Central Business District,492233.157204,5458913.794
Other Theft,2015,4,ABBOTT ST / W CORDOVA ST,Central Business District,492233.157204,5458913.794
Other Theft,2015,5,ABBOTT ST / W CORDOVA ST,Central Business District,492233.157204,5458913.794
Other Theft,2015,6,ABBOTT ST / W CORDOVA ST,Central Business District,492233.157204,5458913.794
Other Theft,2015,6,ABBOTT ST / W CORDOVA ST,Central Business District,492233.157204,5458913.794
Other Theft,2015,6,ABBOTT ST / W CORDOVA ST,Central Business District,492233.157204,5458913.794
Other Theft,2015,7,ABBOTT ST / W CORDOVA ST,Central Business District,492233.157204,5458913.794
Other Theft,2015,8,ABBOTT ST / W CORDOVA ST,Central Business District,492233.157204,5458913.794
Other Theft,2015,10,ABBOTT ST / W CORDOVA ST,Central Business District,492233.157204,5458913.794
Other Theft,2015,12,ABBOTT ST / W CORDOVA ST,Central Business District,492233.157204,5458913.794
Break and Enter Residential/Other,2015,12,74XX WEST BLVD,Kerrisdale,489106.656343,5451681.4563
Break and Enter Residential/Other,2015,7,74XX STANLEY PARK DR,Stanley Park,488654.256989,5460992.64035
Theft from Vehicle,2015,5,32XX VIMY CRES,Renfrew-Collingwood,498188.5386100001,5455880.27052
Break and Enter Residential/Other,2015,12,74XX LAUREL ST,Marpole,490810.830576,5451645.49746
Break and Enter Residential/Other,2015,1,74XX LAUREL ST,Marpole,490810.459753,5451618.9814
Theft of Vehicle,2015,11,9XX E 17TH AVE,Kensington-Cedar Cottage,493839.09433,5455856.668380002
Break and Enter Residential/Other,2015,4,74XX LABURNUM ST,Kerrisdale,488989.063936,5451671.79647
Other Theft,2015,11,8X W PENDER ST,Central Business District,492214.491143,5458700.84836
Theft from Vehicle,2015,8,32XX VIMY CRES,Renfrew-Collingwood,498211.758793,5455972.5669
Theft from Vehicle,2015,5,46XX W 6TH AVE,West Point Grey,484565.265821,5457190.9642
Theft from Vehicle,2015,11,46XX W 8TH AVE,West Point Grey,484560.447084,5457001.64366
Theft from Vehicle,2015,12,46XX W 8TH AVE,West Point Grey,484560.447084,5457001.64366
Theft from Vehicle,2015,7,46XX W 9TH AVE,West Point Grey,484557.52154799993,5456905.72044
Theft from Vehicle,2015,11,84XX GLADSTONE ST,Victoria-Fraserview,495483.605916,5450592.89014
Other Theft,2015,1,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,1,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,6,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,6,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,7,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,9,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,9,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,9,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,10,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,10,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,10,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,11,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,11,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,12,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,12,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,12,ABBOTT ST / W HASTINGS ST,Central Business District,492203.9203,5458810.89111
Other Theft,2015,4,8X WALTER HARDWICK AVE,Mount Pleasant,492280.621546,5457573.84586
Theft from Vehicle,2015,7,47XX BLENHEIM ST,Dunbar-Southlands,487003.04754700005,5454619.000030002
Break and Enter Residential/Other,2015,7,73XX BLENHEIM ST,Kerrisdale,486971.064801,5451849.303719998
Break and Enter Residential/Other,2015,11,73XX BLENHEIM ST,Kerrisdale,486962.50875200005,5451812.8735
Break and Enter Residential/Other,2015,12,73XX BLAKE ST,Killarney,497842.045512,5451635.27016
Break and Enter Residential/Other,2015,9,73XX ARGYLE ST,Victoria-Fraserview,494752.031618,5451654.00021
Other Theft,2015,10,39XX KNIGHT ST,Kensington-Cedar Cottage,494454.3615520001,5455218.71106
Theft from Vehicle,2015,12,32XX W 10TH AVE,Kitsilano,487124.091141,5456741.979119998
Break and Enter Residential/Other,2015,6,72XX MARGUERITE ST,Kerrisdale,489423.92811899993,5451878.82629
Other Theft,2015,4,3XX ABBOTT ST,Central Business District,492218.705347,5458879.65756
Break and Enter Residential/Other,2015,4,2XX E 50TH AVE,Sunset,492653.041526,5452444.55766
Break and Enter Residential/Other,2015,6,72XX KNIGHT ST,Victoria-Fraserview,494392.865657,5451768.10963
Theft from Vehicle,2015,7,47XX CULLODEN ST,Kensington-Cedar Cottage,494258.526037,5454405.91641
Break and Enter Residential/Other,2015,11,72XX DUMFRIES ST,Victoria-Fraserview,494507.820422,5451781.67913
Break and Enter Residential/Other,2015,1,72XX CARTIER ST,Oakridge,489977.213553,5451964.68712
Break and Enter Residential/Other,2015,2,72XX BERKELEY ST,Victoria-Fraserview,495790.173718,5451703.01024
Break and Enter Residential/Other,2015,11,72XX BERKELEY ST,Victoria-Fraserview,495780.570184,5451748.38464
Break and Enter Residential/Other,2015,11,72XX BERKELEY ST,Victoria-Fraserview,495780.570184,5451748.38464
Break and Enter Residential/Other,2015,2,72XX BEECHWOOD ST,Kerrisdale,488613.319387,5451954.21496
Other Theft,2015,12,16XX JOHNSTON ST,Fairview,490171.840648,5457693.93987
Theft of Vehicle,2015,7,9XX E 23RD AVE,Kensington-Cedar Cottage,493771.110756,5455260.93964
Theft from Vehicle,2015,3,47XX GOTHARD ST,Renfrew-Collingwood,496114.89813100005,5454396.96696
Theft from Vehicle,2015,2,47XX HUDSON ST,Shaughnessy,490152.477668,5454518.23159
Break and Enter Residential/Other,2015,2,2XX E 53RD AVE,Sunset,492717.961908,5452125.48869
Other Theft,2015,1,ABBOTT ST / W PENDER ST,Central Business District,492175.437087,5458706.85338
Other Theft,2015,1,ABBOTT ST / W PENDER ST,Central Business District,492175.437087,5458706.85338
Other Theft,2015,2,ABBOTT ST / W PENDER ST,Central Business District,492175.437087,5458706.85338
Other Theft,2015,3,ABBOTT ST / W PENDER ST,Central Business District,492175.437087,5458706.85338
Other Theft,2015,4,ABBOTT ST / W PENDER ST,Central Business District,492175.437087,5458706.85338
Other Theft,2015,4,ABBOTT ST / W PENDER ST,Central Business District,492175.437087,5458706.85338
Other Theft,2015,10,4X E 11TH AVE,Mount Pleasant,492425.42353,5456488.26733
Theft from Vehicle,2015,10,47XX KILLARNEY ST,Renfrew-Collingwood,496984.605284,5454249.85296
Other Theft,2015,5,ABBOTT ST / W PENDER ST,Central Business District,492175.437087,5458706.85338
Other Theft,2015,7,ABBOTT ST / W PENDER ST,Central Business District,492175.437087,5458706.85338
Other Theft,2015,8,ABBOTT ST / W PENDER ST,Central Business District,492175.437087,5458706.85338
Other Theft,2015,8,ABBOTT ST / W PENDER ST,Central Business District,492175.437087,5458706.85338
Other Theft,2015,10,ABBOTT ST / W PENDER ST,Central Business District,492175.437087,5458706.85338
Other Theft,2015,11,ABBOTT ST / W PENDER ST,Central Business District,492175.437087,5458706.85338
Other Theft,2015,12,ABBOTT ST / W PENDER ST,Central Business District,492175.437087,5458706.85338
Other Theft,2015,11,4X E 11TH AVE,Mount Pleasant,492422.99343,5456497.45537
Theft from Vehicle,2015,7,13XX E 21ST AVE,Kensington-Cedar Cottage,494342.267375,5455445.22853
Break and Enter Residential/Other,2015,2,72XX ADERA ST,Kerrisdale,489533.505218,5451924.49053
Break and Enter Residential/Other,2015,10,71XX WEST BLVD,Kerrisdale,488984.978553,5451993.11519
Theft from Vehicle,2015,6,47XX LANARK ST,Kensington-Cedar Cottage,494545.564718,5454361.0593
Break and Enter Residential/Other,2015,12,71XX ONTARIO ST,Sunset,492278.161528,5451884.99744
Break and Enter Residential/Other,2015,2,71XX NEAL ST,Oakridge,491103.054059,5451957.94965
Break and Enter Residential/Other,2015,12,71XX NEAL ST,Oakridge,491102.927959,5451942.02446
Break and Enter Residential/Other,2015,11,71XX KNIGHT ST,Victoria-Fraserview,494392.521672,5451812.69299
Break and Enter Residential/Other,2015,9,71XX KILLARNEY ST,Killarney,496713.568656,5451834.77243
Break and Enter Residential/Other,2015,12,71XX GRANVILLE ST,Oakridge,489807.301588,5452060.92801
Break and Enter Residential/Other,2015,1,71XX CLARENDON ST,Victoria-Fraserview,495866.90792299993,5451783.45844
Theft from Vehicle,2015,11,47XX MANOR ST,Renfrew-Collingwood,497180.374864,5454426.29708
Theft from Vehicle,2015,11,47XX MANOR ST,Renfrew-Collingwood,497185.383482,5454434.238419998
Other Theft,2015,7,ABBOTT ST / WATER ST,Central Business District,492260.973602,5459020.96802
Other Theft,2015,7,ABBOTT ST / WATER ST,Central Business District,492260.973602,5459020.96802
Other Theft,2015,8,ABBOTT ST / WATER ST,Central Business District,492260.973602,5459020.96802
Theft from Vehicle,2015,9,47XX MOSS ST,Renfrew-Collingwood,496850.563918,5454338.45209
Other Theft,2015,8,ABBOTT ST / WATER ST,Central Business District,492260.973602,5459020.96802
Other Theft,2015,8,ABBOTT ST / WATER ST,Central Business District,492260.973602,5459020.96802
Other Theft,2015,8,ABBOTT ST / WATER ST,Central Business District,492260.973602,5459020.96802
Other Theft,2015,10,ABBOTT ST / WATER ST,Central Business District,492260.973602,5459020.96802
Other Theft,2015,10,ABBOTT ST / WATER ST,Central Business District,492260.973602,5459020.96802
Break and Enter Residential/Other,2015,12,71XX BEECHWOOD ST,Kerrisdale,488615.214333,5452017.005480002
Break and Enter Residential/Other,2015,12,71XX ASH CRES,Oakridge,491277.99875,5451952.1130800005
Break and Enter Residential/Other,2015,9,71XX ADERA ST,Kerrisdale,489534.880079,5452013.38987
Mischief,2015,3,36XX DUNBAR ST,Dunbar-Southlands,486521.814752,5455729.06541
Break and Enter Residential/Other,2015,12,70XX SAINT JULIEN MEWS,Killarney,497139.071258,5451912.083190002
Break and Enter Residential/Other,2015,10,70XX OSLER ST,Oakridge,490480.012454,5452217.045469998
Break and Enter Residential/Other,2015,4,70XX OSLER ST,Oakridge,490479.279533,5452183.287269998
Break and Enter Residential/Other,2015,10,70XX MONT ROYAL SQ,Killarney,497248.09786899993,5451835.11294
Theft from Vehicle,2015,5,47XX NW MARINE DR,West Point Grey,484285.572945,5458184.7526199985
Theft from Vehicle,2015,9,47XX NW MARINE DR,West Point Grey,484285.572945,5458184.7526199985
Theft from Vehicle,2015,12,47XX NW MARINE DR,West Point Grey,484285.572945,5458184.7526199985
Break and Enter Residential/Other,2015,10,70XX MONT ROYAL SQ,Killarney,497248.09786899993,5451835.11294
Break and Enter Residential/Other,2015,10,70XX MONT ROYAL SQ,Killarney,497248.09786899993,5451835.11294
Break and Enter Residential/Other,2015,11,70XX MONT ROYAL SQ,Killarney,497210.76648900006,5451834.88014
Break and Enter Residential/Other,2015,10,70XX MONT ROYAL SQ,Killarney,497210.76648900006,5451834.88014
Break and Enter Residential/Other,2015,9,70XX MONT ROYAL SQ,Killarney,497210.76648900006,5451834.88014
Break and Enter Residential/Other,2015,3,70XX MONT ROYAL SQ,Killarney,497210.76648900006,5451834.88014
Break and Enter Residential/Other,2015,1,70XX MONT ROYAL SQ,Killarney,497210.76648900006,5451834.88014
Break and Enter Residential/Other,2015,12,70XX MARGUERITE ST,Kerrisdale,489429.749495,5452075.8656
Break and Enter Residential/Other,2015,9,70XX MARGUERITE ST,Kerrisdale,489429.749495,5452075.8656
Other Theft,2015,12,ALBERNI ST / BURRARD ST,West End,491151.7655010001,5459036.22647
Mischief,2015,11,36XX CORDIALE DR,Killarney,498152.240419,5450795.08997
Mischief,2015,1,36XX COMMERCIAL ST,Kensington-Cedar Cottage,495051.390466,5455476.5108400015
Break and Enter Residential/Other,2015,1,70XX BERKELEY ST,Victoria-Fraserview,495779.84918500006,5451870.08512
Mischief,2015,8,36XX CITY EDGE PL,Killarney,498161.648249,5450551.06238
Theft from Vehicle,2015,1,47XX OAK ST,Shaughnessy,490695.798263,5454442.355769998
Mischief,2015,5,36XX CHARLES ST,Hastings-Sunrise,498142.0349180001,5457820.8775
Other Theft,2015,10,16XX KITCHENER ST,Grandview-Woodland,494891.110611,5457716.0884
Break and Enter Residential/Other,2015,4,6XX W PENDER ST,Central Business District,491697.156261,5459052.94359
Theft from Vehicle,2015,5,47XX OSLER ST,Shaughnessy,490540.007728,5454541.8239400005
Break and Enter Residential/Other,2015,10,6XX W HASTINGS ST,Central Business District,491786.978508,5459119.7304
Break and Enter Residential/Other,2015,6,6XX W 7TH AVE,Fairview,491386.585434,5456921.1547300005
Break and Enter Residential/Other,2015,6,6XX W 7TH AVE,Fairview,491386.585434,5456921.1547300005
Break and Enter Residential/Other,2015,3,6XX W 7TH AVE,Fairview,491386.585434,5456921.1547300005
Break and Enter Residential/Other,2015,2,6XX W 7TH AVE,Fairview,491386.585434,5456921.1547300005
Theft from Vehicle,2015,8,47XX QUEBEC ST,Riley Park,492534.116429,5454437.1035400005
Theft from Vehicle,2015,2,47XX REID ST,Renfrew-Collingwood,497239.27656,5454367.43885
Other Theft,2015,3,57XX BALSAM ST,Kerrisdale,488257.121194,5453476.6342400005
Theft from Vehicle,2015,4,47XX SELKIRK ST,Shaughnessy,490315.991267,5454457.543869998
Break and Enter Residential/Other,2015,3,6XX W 7TH AVE,Fairview,491358.44808100007,5456931.2515400015
Break and Enter Residential/Other,2015,6,6XX W 7TH AVE,Fairview,491339.484659,5456931.89019
Other Theft,2015,8,E 10TH AVE / GRANDVIEW HWY N,Kensington-Cedar Cottage,495365.44078,5456507.58685
Theft from Vehicle,2015,6,47XX VALLEY DR,Arbutus Ridge,489004.278865,5454586.10735
Other Theft,2015,3,E 10TH AVE / FRASER ST,Mount Pleasant,493513.344275,5456528.94687
Theft from Vehicle,2015,5,56XX MELBOURNE ST,Renfrew-Collingwood,497864.859853,5453286.74196
Theft from Vehicle,2015,6,47XX VALLEY DR,Arbutus Ridge,489031.582049,5454525.62966
Theft from Vehicle,2015,6,47XX VALLEY DR,Arbutus Ridge,489031.582049,5454525.62966
Theft from Vehicle,2015,10,47XX VALLEY DR,Arbutus Ridge,489031.582049,5454525.62966
Other Theft,2015,1,3XX ABBOTT ST,Central Business District,492213.872308,5458862.6470800005
Other Theft,2015,3,57XX BALSAM ST,Kerrisdale,488257.121194,5453476.6342400005
Other Theft,2015,10,ALBERNI ST / NICOLA ST,West End,490544.263054,5459631.74744
Break and Enter Residential/Other,2015,4,6XX W 57TH AVE,Oakridge,491335.149908,5451821.99407
Break and Enter Residential/Other,2015,8,6XX W 51ST AVE,Oakridge,491205.760682,5452411.63159
Mischief,2015,5,36XX CAMBIE ST,South Cambie,491608.029611,5455549.76935
Break and Enter Residential/Other,2015,1,6XX W 50TH AVE,Oakridge,491281.509239,5452507.28076
Break and Enter Residential/Other,2015,9,6XX W 45TH AVE,Oakridge,491187.971444,5453024.05396
Break and Enter Residential/Other,2015,2,6XX W 45TH AVE,Oakridge,491156.557674,5453025.72361
Theft from Vehicle,2015,7,47XX W 6TH AVE,West Point Grey,484236.239649,5457206.9171199985
Other Theft,2015,4,3XX ABBOTT ST,Central Business District,492218.705347,5458879.65756
Break and Enter Residential/Other,2015,1,6XX W 28TH AVE,South Cambie,491319.954341,5454824.91004
Break and Enter Residential/Other,2015,11,6XX W 27TH AVE,South Cambie,491303.294503,5454926.8617
Break and Enter Residential/Other,2015,11,6XX W 27TH AVE,South Cambie,491285.343544,5454936.50269
Break and Enter Residential/Other,2015,8,6XX W 24TH AVE,South Cambie,491285.155031,5455257.531880002
Theft from Vehicle,2015,12,48XX BALDWIN ST,Kensington-Cedar Cottage,495693.896165,5454391.91605
Theft from Vehicle,2015,7,48XX BEATRICE ST,Kensington-Cedar Cottage,495148.099003,5454192.1396900015
Other Theft,2015,6,E 10TH AV / QUEBEC ST,Mount Pleasant,492505.898786,5456590.8815
Break and Enter Residential/Other,2015,1,6XX W 22 AV,South Cambie,491382.306275,5455431.65422
Break and Enter Residential/Other,2015,10,6XX W 21ST AVE,South Cambie,491371.990636,5455532.37614
Break and Enter Residential/Other,2015,3,6XX W 20TH AVE,South Cambie,491332.1456,5455625.51228
Break and Enter Residential/Other,2015,5,6XX W 19TH AVE,South Cambie,491268.667595,5455726.6608
Break and Enter Residential/Other,2015,7,6XX W 13TH AVE,Fairview,491415.02339799993,5456314.86833
Break and Enter Residential/Other,2015,2,6XX W 13TH AVE,Fairview,491386.763727,5456306.38654
Break and Enter Residential/Other,2015,9,2XX E 57TH AVE,Sunset,492694.635935,5451748.48948
Break and Enter Residential/Other,2015,9,6XX UNION ST,Strathcona,493421.706211,5458303.563019998
Mischief,2015,10,36XX ADANAC ST,Hastings-Sunrise,498174.242249,5458301.46302
Theft from Vehicle,2015,10,32XX W 13TH AVE,Kitsilano,487184.359577,5456436.850269998
Other Theft,2015,4,3XX ABBOTT ST,Central Business District,492218.705347,5458879.65756
Other Theft,2015,3,33XX KINGSWAY AVE,Renfrew-Collingwood,497551.739724,5453349.57089
Other Theft,2015,1,3XX ABBOTT ST,Central Business District,492213.872308,5458862.6470800005
Other Theft,2015,1,3XX ABBOTT ST,Central Business District,492213.872308,5458862.6470800005
Break and Enter Residential/Other,2015,7,2XX E 60TH AVE,Sunset,492601.507195,5451456.7020000005
Other Theft,2015,1,3XX ABBOTT ST,Central Business District,492213.872308,5458862.6470800005
Theft from Vehicle,2015,2,32XX W 14TH AVE,Kitsilano,487181.576857,5456335.8102
Break and Enter Residential/Other,2015,10,6XX PRIOR ST,Strathcona,493364.656251,5458206.847999998
Break and Enter Residential/Other,2015,12,6XX PRIOR ST,Strathcona,493362.3704,5458216.0728
Theft from Vehicle,2015,11,32XX W 14TH AVE,Kitsilano,487181.576857,5456335.8102
Other Theft,2015,10,ALBERTA ST / W 5TH AVE,Mount Pleasant,491938.409397,5457099.12185
Other Theft,2015,1,3XX ABBOTT ST,Central Business District,492213.872308,5458862.6470800005
Other Theft,2015,8,ALBERTA ST / W 8TH AVE,Mount Pleasant,491929.918644,5456796.14996
Theft from Vehicle,2015,11,32XX W 14TH AVE,Kitsilano,487181.576857,5456335.8102
Break and Enter Residential/Other,2015,11,6XX PIPELINE RD,Stanley Park,490124.120067,5460757.99276
Other Theft,2015,1,3XX ABBOTT ST,Central Business District,492213.872308,5458862.6470800005
Break and Enter Residential/Other,2015,4,6XX MOBERLY RD,Fairview,491448.900975,5457285.28483
Other Theft,2015,6,ALDER ST / W 12TH AVE,Fairview,490433.364345,5456443.46984
Other Theft,2015,2,4XX W 8TH AVE,Mount Pleasant,491668.426696,5456813.46847
Break and Enter Residential/Other,2015,1,6XX MILLBANK ST,Fairview,491305.25031400006,5457207.97187
Break and Enter Residential/Other,2015,5,2XX E 62ND AVE,Sunset,492608.279412,5451293.84951
Break and Enter Residential/Other,2015,1,6XX KINGHORNE MEWS,Central Business District,490455.498763,5457840.5489
Other Theft,2015,4,ALDER ST / W BROADWAY AVE,Fairview,490442.222126,5456755.04346
Other Theft,2015,8,ALDER ST / W BROADWAY AVE,Fairview,490442.222126,5456755.04346
Break and Enter Residential/Other,2015,1,6XX KEEFER ST,Strathcona,493420.511796,5458505.90954
Other Theft,2015,1,ALEXANDER ST / COLUMBIA ST,Central Business District,492570.1599520001,5459009.36879
